NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Loveland city, Colorado",81149,8,46465,Loveland city,Colorado,"Loveland city, Colorado",40.3957149,-105.10903380460796,2.0,9.0
"Thornton city, Colorado",105116,8,77290,Thornton city,Colorado,"Thornton city, Colorado",39.8686792,-104.960838,1.0,12.0
"Westminster city, Colorado",101529,8,83835,Westminster city,Colorado,"Westminster city, Colorado",39.86252555,-105.04902987460132,0.0,20.0
"Danbury city, Connecticut",88132,9,18430,Danbury city,Connecticut,"Danbury city, Connecticut",41.173209,-73.190759,0.0,20.0
"Norwalk city, Connecticut",107140,9,55990,Norwalk city,Connecticut,"Norwalk city, Connecticut",41.1132796,-73.40668194611808,0.0,3.0
"Stamford city, Connecticut",89797,9,73000,Stamford city,Connecticut,"Stamford city, Connecticut",41.173209,-73.190759,0.0,20.0
"Washington city, District of Columbia",101027,11,50000,Washington city,District of Columbia,"Washington city, District of Columbia",38.9232216,-77.0176122,1.0,20.0
"Alafaya CDP, Florida",88731,12,410,Alafaya CDP,Florida,"Alafaya CDP, Florida",28.5114497,-81.18743928503125,0.0,1.0
"Boca Raton city, Florida",88620,12,7300,Boca Raton city,Florida,"Boca Raton city, Florida",28.543089,-81.378698,0.0,20.0
"Brandon CDP, Florida",75294,12,8150,Brandon CDP,Florida,"Brandon CDP, Florida",27.93539,-82.299987,0.0,8.0
"Cape Coral city, Florida",76991,12,10275,Cape Coral city,Florida,"Cape Coral city, Florida",30.232171,-85.888921,0.0,7.0
"Coral Springs city, Florida",85570,12,14400,Coral Springs city,Florida,"Coral Springs city, Florida",28.543089,-81.378698,0.0,20.0
"Davie town, Florida",79963,12,16475,Davie town,Florida,"Davie town, Florida",26.087573,-80.296011,0.0,6.0
"Delray Beach city, Florida",80000,12,17100,Delray Beach city,Florida,"Delray Beach city, Florida",26.4638162,-80.0746795,1.0,6.0
"Doral city, Florida",85790,12,17935,Doral city,Florida,"Doral city, Florida",25.8217956,-80.33418112276786,0.0,10.0
