NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,commercial.weapons Count,activity.sport_club Count,commercial.smoking Count,commercial.food_and_drink.health_food Count
"Pflugerville city, Texas",111956,48,57176,Pflugerville city,Texas,"Pflugerville city, Texas",30.44088975,-97.6201335,0.0,1.0,1.0,0.0
"Rowlett city, Texas",106355,48,63572,Rowlett city,Texas,"Rowlett city, Texas",35.469264,-97.515679,0.0,0.0,2.0,0.0
"Sugar Land city, Texas",132766,48,70808,Sugar Land city,Texas,"Sugar Land city, Texas",29.5966629,-95.6224945420328,0.0,0.0,0.0,0.0
"The Woodlands CDP, Texas",137335,48,72656,The Woodlands CDP,Texas,"The Woodlands CDP, Texas",30.15799,-95.48938,0.0,2.0,1.0,1.0
"Lehi city, Utah",123842,49,44320,Lehi city,Utah,"Lehi city, Utah",40.3898843,-111.84786867118956,1.0,0.0,2.0,0.0
"South Jordan city, Utah",118560,49,70850,South Jordan city,Utah,"South Jordan city, Utah",40.6740609,-111.9819364,0.0,0.0,7.0,2.0
"Alexandria city, Virginia",111955,51,1000,Alexandria city,Virginia,"Alexandria city, Virginia",14.0146616,-88.5743855,0.0,0.0,0.0,0.0
"Arlington CDP, Virginia",132380,51,3000,Arlington CDP,Virginia,"Arlington CDP, Virginia",38.864458,-77.099638,1.0,5.0,9.0,0.0
"Centreville CDP, Virginia",131444,51,14440,Centreville CDP,Virginia,"Centreville CDP, Virginia",38.830024,-77.435746,0.0,0.0,1.0,1.0
"Bellevue city, Washington",153779,53,5210,Bellevue city,Washington,"Bellevue city, Washington",47.61493035,-122.19573727505184,2.0,0.0,6.0,0.0
"Kirkland city, Washington",130620,53,35940,Kirkland city,Washington,"Kirkland city, Washington",47.6762128,-122.1912163,2.0,2.0,13.0,2.0
"Redmond city, Washington",152851,53,57535,Redmond city,Washington,"Redmond city, Washington",47.6576285,-122.089065,2.0,0.0,6.0,0.0
"Sammamish city, Washington",223849,53,61115,Sammamish city,Washington,"Sammamish city, Washington",47.6017554,-122.0416844,0.0,0.0,2.0,0.0
"Seattle city, Washington",115409,53,63000,Seattle city,Washington,"Seattle city, Washington",47.6177084,-122.3444624,0.0,2.0,53.0,0.0
"South Hill CDP, Washington",109848,53,65922,South Hill CDP,Washington,"South Hill CDP, Washington",47.120551,-122.283781,0.0,0.0,4.0,0.0
